Hieroglyph,"Gardiner Unicode",Description,Ideogram,Phonogram,Notes
"𓇸","N10 U+131F8","moon with lower section obscured","Primeval time ( pꜣwt ) Ennead ( psḏt ) New moon festival ( psḏntyw )","",""
"𓇹","N11 U+131F9","crescent moon","Moon ( jꜥḥ ) Month ( ꜣbd )","",""
"𓇺","N12 U+131FA","crescent moon","Moon ( jꜥḥ ) Month ( ꜣbd )","",""
"𓇻","N13 U+131FB","combination of crescent moon and star","Half-month festival ( smdt )","",""
"𓇼","N14 U+131FC",star,"Star ( sbꜣ ) Praise, adore, thank ( dwꜣ ) 5 ( djw ) God ( nṯr ) (Ptolemaic)","sbꜣ, dwꜣ",""
"𓇽","N15 U+131FD","star in circle","Duat ( dwꜣt )","",""
"𓇾","N16 U+131FE","land with grains","Land, Earth ( tꜣ )","",""
"𓇿","N17 U+131FF",land,"Land, Earth ( tꜣ )","","Variant of N16"
"𓈀","N18 U+13200","sandy tract","Horizon ( ꜣḫt ) Island ( jw ) Kilt, loincloth ( dꜣjw )","",""
"𓈁","N18A U+13201","combination of sandy tract and ripple of water","Amun ( jmn ) (Cryptographic)","",""
"𓈂","N18B U+13202","combination of roll of bread and bolt","Shenes (location) ( šns )","",""
"𓈃","N19 U+13203","two sandy tracts","Two horizons ( ꜣḫty )","","In rꜥ-ḥrw-ꜣḫty “Ra-Horus of the Two Horizons”"
"𓈄","N20 U+13204","tongue of land","Riverbank ( jdb ) Revert, divert ( wḏb )","",""
"𓈅","N21 U+13205","short tongue of land","Riverbank ( jdb ) Revert, divert ( wḏb )","",""
"𓈆","N22 U+13206","broad tongue of land","Riverbank ( jdb ) Revert, divert ( wḏb )","",""
"𓈇","N23 U+13207","irrigation canal","","","Determinative for words involving land, especially farmland"
"𓈈","N24 U+13208","irrigation canal system","District ( spꜣt )","","Base for the Nome signs (categories NL and NU)"
"𓈉","N25 U+13209","three hills","Foreign land ( ḫꜣst )","","Determinative for foreign locations"
"𓈊","N25A U+1320A","three hills (low)","Foreign land ( ḫꜣst )","","Determinative for foreign locations"
"𓈋","N26 U+1320B","two hills","Mountain ( ḏw )","",""
"𓈌","N27 U+1320C","sun over mountain","Horizon ( ꜣḫt )","",""
"𓈍","N28 U+1320D","rays of sun over hill","Appear ( ḫꜥj )","ḫꜥ",""
"𓈎","N29 U+1320E","slope of hill","Hill ( qꜣꜣ )",q,""
"𓈏","N30 U+1320F","mound of earth","Mound ( ỉꜣt )","",""
"𓈐","N31 U+13210","road with shrubs","Path, way ( wꜣt ) Course, road ( mṯn ) Distant ( ḥr )","ḥr",""
"𓈑","N32 U+13211","lump of clay","Clay ( sjn )","",""
"𓈒","N33 U+13212",grain,"","",""
"𓈓","N33A U+13213","three grains","","","Alternative plural marker. See Z2."
"𓈔","N34 U+13214","ingot of metal","Iron ( bjꜣ ) Copper ( ḥmt )","",""
"𓈕","N34A U+13215","ingot of metal","","",""
"𓈖","N35 U+13216","ripple of water","To, for (Dative preposition) ( n ) Of (Genitival adjective) ( n[j] )",n,"Possibly ancestral to Proto-Sinaitic Mem and its descendants"
"𓈗","N35A U+13217","three ripples of water","Water ( mw )","","Determinative for water and liquid"
"𓈘","N36 U+13218",canal,"Canal ( mr ) Beloved [of] ( mry )",mr,""
"𓈙","N37 U+13219",pool,"Lake, pool ( š )","š, ẖ (Old kingdom)",""
"𓈚","N37A U+1321A",pool,"Lake, pool ( š )","š, ẖ (Old kingdom)",""
"𓈛","N38 U+1321B","deep pool","Lake, pool ( š )","š, ẖ (Old kingdom)",""
"𓈜","N39 U+1321C","pool with water","Lake, pool ( š )","š, ẖ (Old kingdom)",""
"𓈝","N40 U+1321D","pool with legs","Go, set out ( šm )","",""
"𓈞","N41 U+1321E","well with ripple of water","Copper ( ḥmt ) Metal ( bjꜣ ) Wife ( ḥmt )","ḥm, bjꜣ",""
"𓈟","N42 U+1321F","well with line of water","Copper ( ḥmt ) Metal ( bjꜣ ) Wife ( ḥmt )","ḥm, bjꜣ",""
"​",NL,"","Lower nile","","See: Lower Egyptian Nomes"
"𓈠","NL1 U+13220","Nome sign with wall and mace","White-Walls ( jnb-ḥḏ )","","1st Nome of Lower Egypt (NL001), the Memphite nome Inebu-hedj"
"𓈡","NL2 U+13221","Nome sign with cow thigh","Cow thigh ( ḫpš )","","2nd Nome of Lower Egypt (NL002)"
"𓈢","NL3 U+13222","Nome sign with falcon and feather","West ( jmntt )","","3rd Nome of Lower Egypt (NL003)"
"𓈣","NL4 U+13223","Nome sign with shield, crossed arrows, and sedge","Southern Neith ( nt-rst )","","4th Nome of Lower Egypt (NL004)"
"𓈤","NL5 U+13224","Nome sign with shield, crossed arrows, and papyrus plant","Northern Neith ( nt-mḥt )","","5th Nome of Lower Egypt (NL005)"
"𓈥","NL5a U+13225","Nome sign with shield, crossed arrows, and whip upon bread loaf","Northern Neith ( nt-mḥt )","","5th Nome of Lower Egypt (NL005A)"
"𓈦","NL6 U+13226","Nome sign with mountain and bull","ḫꜣsww (Mountain bull)","","6th Nome of Lower Egypt (NL006), Khaset"
"𓈧","NL7 U+13227","Nome sign with harpoon and West-emblem","Western harpoon ( ḥww-(gs)-jmnty )","","7th Nome of Lower Egypt (NL007)"
"𓈨","NL8 U+13228","Nome sign with harpoon and East-emblem","Eastern harpoon ( ḥww-(gs)-jꜣbty )","","8th Nome of Lower Egypt (NL008)"
"𓈩","NL9 U+13229","Nome sign with Andjety","Andjety ( ꜥnḏty )","","9th Nome of Lower Egypt (NL009)"
"𓈪","NL10 U+1322A","Nome sign with bull and crocodile skin","Black bull ( kꜣ-km )","","10th Nome of Lower Egypt (NL010)"
"𓈫","NL11 U+1322B","Nome sign with bull and pustule","Heseb-Bull ( kꜣ-ḥsb )","","11th Nome of Lower Egypt (NL011)"
"𓈬","NL12 U+1322C","Nome sign with bull and calf","Calf and Bull ( ṯb-kꜣ? )","","12th Nome of Lower Egypt (NL012)"
"𓈭","NL13 U+1322D","Nome sign with shuttle and crook","Prospering scepter ( ḥqꜣ-ꜥḏ )","","13th Nome of Lower Egypt (NL013), the Heliopolite nome, Heqat-Adj"
"𓈮","NL14 U+1322E","Nome sign with simplified jars and East-emblem","Foremost of the East ( ḫnty-ỉꜣbty )","","14th Nome of Lower Egypt (NL014)"
"𓈯","NL15 U+1322F","Nome sign with ibis","Thoth ( ḏḥwty )","","15th Nome of Lower Egypt (NL015)"
"𓈰","NL16 U+13230","Nome sign with fish","Hatmehit ( ḥꜣt-mḥyt )","","16th Nome of Lower Egypt (NL016)"
"𓈱","NL17 U+13231","Nome sign with tusk, hand, bread loaf, and crossroads","Throne ( bḥdt )","","17th Nome of Lower Egypt (NL017)"
"𓈲","NL17a U+13232","Nome sign with lungs, tusk, hand, bread loaf, and crossroads","Uniting the throne (?) ( smꜣ-bḥdt )","","17th Nome of Lower Egypt (NL017A)"
"𓈳","NL18 U+13233","Nome sign with child wearing white crown and cow’s head","Southern prince ( jmty-ḫnt )","","18th Nome of Lower Egypt (NL018)"
"𓈴","NL19 U+13234","Nome sign with child wearing white crown and hindquarters of lion","Northern prince ( jmty-pḥw )","","19th Nome of Lower Egypt (NL019)"
"𓈵","NL20 U+13235","Nome sign with thorn and Sopdu","Sopdu ( spdw )","","20th Nome of Lower Egypt (NL020)"
"​",NU,"","Upper nile","","See: Upper Egyptian Nomes"
"𓈶","NU1 U+13236","Nome sign with land, bow, bread loaf and land","Land of the Bow ( tꜣ-stj )","","1st Nome of Upper Egypt (NU001), Ta-Seti"
"𓈷","NU2 U+13237","Nome sign with balance column and falcon","Throne of Horus ( wṯst-ḥrw )","","2nd Nome of Upper Egypt (NU002), Wetjes-Hor"
"𓈸","NU3 U+13238","Nome sign with emblem of Nekhen","Shrine ( Nekhen ) ( nḫn )","","3rd Nome of Upper Egypt (NU003), Nekhen (nome)"
"𓈹","NU4 U+13239","Nome sign with Was-scepter","Scepter ( Waset ) ( wꜣst )","","4th Nome of Upper Egypt (NU004)"
"𓈺","NU5 U+1323A","Nome sign with two falcons","Two falcons/Two gods/Two Horuses ( bjkwy/nṯrwy/ḥrwy )","","5th Nome of Upper Egypt (NU005), Herui"
"𓈻","NU6 U+1323B","Nome sign with crocodile with feather","Crocodile ( jqr, msḥ? )","","6th Nome of Upper Egypt (NU006), Iqer"
"𓈼","NU7 U+1323C","Nome sign with Sistrum","Bat ( bꜣt ) Sistrum ( sšš )","","7th Nome of Upper Egypt (NU007)"
"𓈽","NU8 U+1323D","Nome sign with Osiris fetish","Great land ( tꜣ-wr )","","8th Nome of Upper Egypt (NU008), the Thinite nome, Ta-wer"
"𓈾","NU9 U+1323E","Nome sign with emblem of Min","Min ( mnw )","","9th Nome of Upper Egypt (NU009)"
"𓈿","NU10 U+1323F","Nome sign with cobra with feather","Wadjet ( wꜣḏyt )","","10th Nome of Upper Egypt (NU010), Wadjet"
"𓉀","NU10a U+13240","Nome sign with papyrus column, cobra, and bread loaf","Wadjet ( wꜣḏyt )","","10th Nome of Upper Egypt (NU010A), Wadjet"
"𓉁","NU11 U+13241","Nome sign with Set-animal","Set-animal ( šꜣ )","","11th Nome of Upper Egypt (NU011)"
"𓉂","NU11a U+13242","Nome sign with wick, Red crown, ripples of water","Set-animal ( šꜣ )","","11th Nome of Upper Egypt (NU011A)"
"𓉃","NU12 U+13243","Nome sign with mountain and viper","Viper mountain ( ḏw-ft )","","12th Nome of Upper Egypt (NU012)"
"𓉄","NU13 U+13244","Nome sign with tree crossed by viper and simplified jars","Southern ꜣtf/nḏft-tree ( ꜣtf-ḫntt/nḏft-ḫntt )","","13th Nome of Upper Egypt (NU013)"
"𓉅","NU14 U+13245","Nome sign with tree crossed by viper, hindquarters of lion, bread loaf","Northern ꜣtf/nḏft-tree ( ꜣtf-pḥt/nḏft-ḫntt )","","14th Nome of Upper Egypt (NU014)"
"𓉆","NU15 U+13246","Nome sign with hare","Hare ( wnt )","","15th Nome of Upper Egypt (NU015), Wenet"
"𓉇","NU16 U+13247","Nome sign with oryx","Oryx ( mꜣ-ḥḏ )","","16th Nome of Upper Egypt (NU016), Ma-hedj"
"𓉈","NU17 U+13248","Nome sign with jackal","Jackal ( Anubis , Anput ) ( jnpw(t) )","","17th Nome of Upper Egypt (NU017)"
"𓉉","NU18 U+13249","Nome sign with falcon, wings spread","Nemty ( nmty )","","18th Nome of Upper Egypt (NU018)"
"𓉊","NU18a U+1324A","Nome sign with falcon on boat","Nemty ( nmty )","","18th Nome of Upper Egypt (NU018A)"
"𓉋","NU19 U+1324B","Nome sign with two Was-scepters and foot","Wabwi, Two Scepters? ( wꜣbwy )","","19th Nome of Upper Egypt (NU019)"
"𓉌","NU20 U+1324C","Nome sign with tree and simplified jars","Southern nꜥrt-tree ( nꜥrt-ḫntt )","","20th Nome of Upper Egypt (NU020)"
"𓉍","NU21 U+1324D","Nome sign with tree, hindquarters of a lion, and bread loaf","Northern nꜥrt-tree ( nꜥrt-pḥt )","","21st Nome of Upper Egypt (NU021)"
"𓉎","NU22 U+1324E","Nome sign with knife","Knife ( mdnjt )","","22nd Nome of Upper Egypt (NU022)"
"𓉏","NU22a U+1324F","","","","22nd Nome of Upper Egypt (NU022A)"
"​",O,"","Buildings, parts of buildings, etc.","",""
"𓉐","O1 U+13250",house,"House ( pr )",pr,"Determinative for buildings"
"𓉑","O1A U+13251","combination of house and ankh","House of Life (Scriptorium) ( pr-ꜥnḫ )","",""
"𓉒","O2 U+13252","combination of house and mace with round head","Treasury ( pr-ḥḏ )","",""
"𓉓","O3 U+13253","combination of house, oar, tall loaf and beer jug","Voice-offering ( prt-ḫrw )","",""
"𓉔","O4 U+13254",shelter,"Courtyard ( h )",h,"Egyptian uniliteral sign h"
"𓉕","O5 U+13255","winding wall from upper-left corner","Avenue ( mrrt )",mr,""
"𓉖","O5A U+13256","winding wall from lower-left corner","Avenue ( mrrt )",mr,""
"𓉗","O6 U+13257",enclosure,"House, mansion ( ḥwt )","",""
"𓉘","O6A U+13258","opening of ḥwt -enclosure","","","Egyptological sign used for placing groups of signs inside a ḥwt-enclosure"
"𓉙","O6B U+13259","opening of ḥwt-enclosure","","","Egyptological sign used for placing groups of signs inside a ḥwt-enclosure"
"𓉚","O6C U+1325A","opening of ḥwt-enclosure","","","Egyptological sign used for placing groups of signs inside a ḥwt-enclosure"
"𓉛","O6D U+1325B","closing of ḥwt-enclosure","","","Egyptological sign used for placing groups of signs inside a ḥwt-enclosure"
"𓉜","O6E U+1325C","closing of ḥwt-enclosure","","","Egyptological sign used for placing groups of signs inside a ḥwt-enclosure"
"𓉝","O6F U+1325D","closing of ḥwt-enclosure","","","Egyptological sign used for placing groups of signs inside a ḥwt-enclosure"
"𓉞","O7 U+1325E","combination of enclosure and flat loaf","House, mansion ( ḥwt )","",""
"𓉟","O8 U+1325F","combination of enclosure, flat loaf and wooden column","Great house ( ḥwt-ꜥꜣt ) (Not to be confused with pr-ꜥꜣ)","",""
"𓉠","O9 U+13260","combination of enclosure, flat loaf and basket","Nephthys ( nbt-ḥwt )","",""
"𓉡","O10 U+13261","combination of enclosure and falcon","Hathor ( ḥwt-ḥrw )","",""
"𓉢","O10A U+13262","combination of enclosure and ankh","House of Life ( ḥwt-ꜥnḫ ) (Not to be confused with pr-ꜥnḫ)","",""
"𓉣","O10B U+13263","combination of enclosure and bee","House of the king of Lower Egypt ( ḥwt-bjty )","",""
"𓉤","O10C U+13264","combination of shrine in profile and face","","",""
"𓉥","O11 U+13265",palace,"Palace ( ꜥḥ )","",""
"𓉦","O12 U+13266","combination of palace and forearm","Palace ( ꜥḥ )","",""
"𓉧","O13 U+13267","battlemented enclosure","Portal ( sbḫt ) Wide ( wsḫ ) Wide hall ( wsḫt )","",""
"𓉨","O14 U+13268","part of battlemented enclosure","Portal ( sbḫt )","",""
"𓉩","O15 U+13269","enclosure with cup and flat loaf","Wide hall ( wsḫt )","",""
"𓉪","O16 U+1326A","gateway with serpents","Gate ( rwt ) Shroud, door ( tꜣyt )","",""
"𓉫","O17 U+1326B","open gateway with serpents","Gate ( rwt ) Shroud, door ( tꜣyt )","",""
"𓉬","O18 U+1326C","shrine in profile","Shrine ( kꜣrj )","",""
"𓉭","O19 U+1326D","shrine with fence","Shrine ( jtrt ) Great House (archaic shrine of El Kab and Upper Egypt) ( pr-wr )","",""
"𓉮","O19A U+1326E",shrine,"Shrine ( jtrt ) Great House (archaic shrine of El Kab and Upper Egypt) ( pr-wr )","",""
"𓉯","O20 U+1326F",shrine,"Shrine ( jtrt ) House of the Jar (archaic shrine of Buto ) and Lower Egypt ( pr-nw )","",""
"𓉰","O20A U+13270",shrine,"Shrine ( jtrt ) House of the Jar (archaic shrine of Buto ) and Lower Egypt ( pr-nw )","",""
"𓉱","O21 U+13271","façade of shrine","Booth ( sḥ )","",""
"𓉲","O22 U+13272","booth with pole","Booth ( sḥ ) Festival ( ḥ(ꜣ)b )","ꜥrq",""
"𓉳","O23 U+13273","double platform","Sed festival ( ḥ(ꜣ)b-sd )","",""
"𓉴","O24 U+13274",pyramid,"Pyramid ( mr )","",""
"𓉵","O24A U+13275","pedestal of sun temple","Ascend ( jꜥ(r) )","",""
"𓉶","O25 U+13276",obelisk,"Obelisk ( tḫn ) Monument ( mn )","",""
"𓉷","O25A U+13277","obelisk and pedestal of sun temple","","","determinative for Sun temples"
"𓉸","O26 U+13278",stela,"Stela ( ꜥḥꜥw ) Decree ( wḏ )","",""
"𓉹","O27 U+13279","hall of columns","Office ( ḫꜣ )","",""
"𓉺","O28 U+1327A",column,"Column ( jwn )",jwn,""
"𓉻","O29 U+1327B","horizontal wooden column","Column ( ꜥꜣ ) Great (esp. of size) ( ꜥꜣ )","ꜥꜣ",""
"𓉼","O29A U+1327C","vertical wooden column","Column ( ꜥꜣ ) Great (esp. of size) ( ꜥꜣ )","ꜥꜣ",""
"𓉽","O30 U+1327D",support,"Post, support ( sḫnt )","",""
"𓉾","O30A U+1327E","four supports","The 4 supports of the sky ( sḫnt )","",""
"𓉿","O31 U+1327F",door,"Door ( ꜥꜣ )","",""
"𓊀","O32 U+13280",gateway,"Gate ( sbꜣ )","",""
"𓊁","O33 U+13281","façade of palace","Palace ( srḫ )","","See: Serekh"
"𓊂","O33A U+13282","closing of srḫ -enclosure","","","Egyptological sign used in the horizontal writing of the Horus name (see: Serekh )"
"𓊃","O34 U+13283","door bolt","Doorbolt ( s )",s,"Unil. s , used for horizontal spaces instead of the vertical s-sign S29 , a folded cloth ,"
"𓊄","O35 U+13284","combination of bolt and legs","Go ( sj )","sj, sb","alone translates to ""go!"", can also be used in zbj , ""perish""."
"𓊅","O36 U+13285",wall,"Wall ( jnb )","","1. Ideogram or det. for jnb , ""wall""; 2. (a det. for related words)"
"𓊆","O36A U+13286","opening of oval fortified wall enclosure","","","Egyptological sign used to enclose groups of signs in a fortified wall"
"𓊇","O36B U+13287","closing of oval fortified wall enclosure","","","Egyptological sign used to enclose groups of signs in a fortified wall"
"𓊈","O36C U+13288","opening of square fortified wall enclosure","","","Egyptological sign used to enclose groups of signs in a fortified wall"
"𓊉","O36D U+13289","closure of square fortified wall enclosure","","","Egyptological sign used to enclose groups of signs in a fortified wall"
"𓊊","O37 U+1328A","falling wall","Tilt, favor ( gsꜣ ) Demolish ( sẖnn )","",""
"𓊋","O38 U+1328B","corner of wall","Corner, angle, court of magistrates ( qnbt ) Gateway ( ꜥrrt )","",""
"𓊌","O39 U+1328C",stone,"Stone ( jnr )","","Determinative for types of stone"
"𓊍","O40 U+1328D","stair single","Throne, stairs ( ḫndw )","",""
"𓊎","O41 U+1328E","double stairway","Ascend ( jꜥ(r) )","",1.
"𓊏","O42 U+1328F",fence,"Palm ( šsp ) Receive ( šsp )","šsp",""
"𓊐","O43 U+13290","low fence","Palm ( šsp ) Receive ( šsp )","šsp",""
"𓊑","O44 U+13291","emblem of Min","Office, position ( jꜣt )","","Fetish of the Temple of Min"
"𓊒","O45 U+13292","domed building","Harem, temple chamber ( jpt )","",""
"𓊓","O46 U+13293","domed building","Harem, temple chamber ( jpt )","",""
"𓊔","O47 U+13294","enclosed mound","Nekhen ( nḫn )","",""
"𓊕","O48 U+13295","enclosed mound","Nekhen ( nḫn ) Twice, doubled ( sp-snw )","",""
"𓊖","O49 U+13296",village,"Town ( njwt ) Buto ( p )","","Determinative for towns, locations within Egypt"
"𓊗","O50 U+13297","threshing floor","Threshing floor ( spt ) Time, occasion, etc. ( sp )",sp,""
"𓊘","O50A U+13298","hieratic threshing floor","","",""
"𓊙","O50B U+13299","O50A reversed","","",""
"𓊚","O51 U+1329A","pile of grain","Granary ( šnwt )","",""
"​",P,"","Ships and parts of ships","",""
"𓊛","P1 U+1329B","","ship, boat ( dpt, jmw ) Ships ( ꜥhꜥw ) sail, go downstream ( ḫdj )",jm,""
"𓊜","P1A U+1329C","boat upside down","Turn over ( pnꜥ )","",""
"𓊝","P2 U+1329D","ship under sail","sail upstream ( ḫntj )","",""
"𓊞","P3 U+1329E","sacred barque","Ferry, traverse ( ḏꜣj ) sacred barque ( wiꜣ )","",""
"𓊟","P3A U+1329F","sacred barque without steering oar","sacred barque ( wiꜣ )","",""
"𓊠","P4 U+132A0","boat with net","Release ( wḥꜥ ) Fisherman, fowler ( wḥꜥ )","",""
"𓊡","P5 U+132A1",sail,"sail ( ṯꜣwt ) sailor ( nfw ), wind, breath ( ṯꜣw ) north wind ( mḥyt )","",""
"𓊢","P6 U+132A2",mast,"mast ( ꜥḥꜥ ) to stand ( ꜥḥꜥ )","ꜥḥꜥ","Triliteral ꜥḥꜥ , ""to erect, stand,"", related concepts"
"𓊣","P7 U+132A3","combination of mast and forearm","to stand ( ꜥḥꜥ )","ꜥḥꜥ, ꜥḥꜥw","Combination of P6 and D36"
"𓊤","P8 U+132A4",oar,"oar ( wsr ) Voice ( ḫrw )","",""
"𓊥","P9 U+132A5","combination of oar and horned viper","says (parenthetic) ( ḫrwfj )","","Combination of P8 and I9"
"𓊦","P10 U+132A6",rudder,"steering oar ( ḥmw )","",""
"𓊧","P11 U+132A7","mooring post","mooring post ( m(j)njt )",qd,""
"​",Q,"","Domestic and funerary furniture","",""
"𓊨","Q1 U+132A8","seat throne","Seat, place ( st )","st, js, ws (in wsjr, “Osiris”), ḥtm",""
"𓊩","Q2 U+132A9","carrying chair","Seat, place ( st )","ws (in wsjr, “Osiris”)",""
"𓊪","Q3 U+132AA",stool,"Base, mat, stool ( p ) Buto ( p )",p,""
"𓊫","Q4 U+132AB",headrest,"Headrest ( wrs )","","A. Determinative for wrs' , the ""headrest""; B. headrest is also Egyptian language , wꜣrst , ( Coptic language , ""ⲟⲩⲣⲁⲥ""). C. See also: WikiCommons: Egyptian headrests"
"𓊬","Q5 U+132AC",chest,"box ( hn )","",""
"𓊭","Q6 U+132AD",sarcophagus,"coffin, burial ( qrst ), bury ( qrs )","",""
"𓊮","Q7 U+132AE",brazier,"fire, flame ( nsr(sr) ) torch ( tkꜣ ) cook ( psj ) warmth ( srf ) Lamp ( ḫꜣbs )","","Ideogram and determinative for various words related to fire, warmth, burning"
"​",R,"","Temple furniture and sacred emblems","",""
"𓊯","R1 U+132AF","high table with offerings","offering table ( ḫꜣwt ) Offerings ( wdḥw ) Offering, satisfy ( ḥtp )","",""
"𓊰","R2 U+132B0","table with slices of bread","offering table ( ḫꜣwt )","",""
"𓊱","R2A U+132B1","high table with offerings","offering table ( ḫꜣwt )","",""
"𓊲","R3 U+132B2","low table with offerings","offering table ( ḫꜣwt ) Offerings ( wdḥw ) Offering, satisfy ( ḥtp )","",""
"𓊳","R3A U+132B3","low table","offering table ( ḫꜣwt ) Offerings ( wdḥw ) Offering, satisfy ( ḥtp )","",""
"𓊴","R3B U+132B4","low table with offerings (simplified)","","",""
"𓊵","R4 U+132B5","loaf on mat","Altar, offering, peace, be satisfied, be at peace, rest, set (of the sun) ( ( ḥtp )","",""
"𓊶","R5 U+132B6","narrow censer","Cense, fumigate ( kꜣp )","",""
"𓊷","R6 U+132B7","broad censer","Cense, fumigate ( kꜣp )","",""
"𓊸","R7 U+132B8","bowl with smoke","Incense ( snṯr ) Ba-soul ( bꜣ )","",""
"𓊹","R8 U+132B9","Cloth on pole","God ( nṯr )","",""
"𓊺","R9 U+132BA","combination of cloth on pole and bag","Natron ( bd, nṯry )","",""
"𓊻","R10 U+132BB","combination of cloth on pole, butcher's block and slope of hill","Necropolis ( ẖrt-nṯr )","",""
"𓊼","R10A U+132BC","combination of cloth on pole and butcher's block","Necropolis ( ẖrt-nṯr )","",""
"𓊽","R11 U+132BD","reed column","Be stable ( ḏd )","","Djed , a symbol of Osiris - originally probably a reed column, later reinterpreted as a spinal column"
"𓊾","R12 U+132BE",standard,"Standard ( jꜣt )","",""
"𓊿","R13 U+132BF","falcon and feather on standard","West ( jmnty, jmntt )","",""
"𓋀","R14 U+132C0","Emblem of the West","West ( jmnty, jmntt ) '""right""' ( wnmj )","","Emblem of the West"
"𓋁","R15 U+132C1","spear, Emblem of the East","East ( jꜣbty, jꜣbtt ) Left ( jꜣbj )","","Emblem of the East"
"𓋂","R16 U+132C2","sceptre with feathers and string","Wekh-fetish of Nefertem ( wḫ )","",""
"𓋃","R16A U+132C3","sceptre with feathers","Wekh-fetish ( wḫ )","","Wekh-fetish of Nefertem"
"𓋄","R17 U+132C4","wig on pole","Great Land (8th nome of Upper Egypt) ( tꜣ-wr )","","Abydine fetish of Osiris . See also NU8, 8th nome of Upper Egypt"
"𓋅","R18 U+132C5","combination of wig on pole and irrigation canal system","Great Land (8th nome of Upper Egypt) ( tꜣ-wr )","","Abydine fetish of Osiris . See also NU8, 8th nome of Upper Egypt"
"𓋆","R19 U+132C6","scepter with feather","Waset (Thebes ( wꜣst ) Iatet (A milk goddess) ( jꜣtt )","","Emblem of Waset ( Thebes )"
"𓋇","R20 U+132C7","flower with horns","Seshat ( sšꜣt, sẖꜣt )","","Emblem of Seshat"
"𓋈","R21 U+132C8","flower with horns","Seshat ( sšꜣt, sẖꜣt )","","Emblem of Seshat"
"𓋉","R22 U+132C9","two narrow belemnites","Min ( mnw ) Shrine ( ḫm ) Letopolis ( ḫm )","","Emblem of Min. Interpreted as belemnite fossils or a lightning bolt."
"𓋊","R23 U+132CA","two broad belemnites","Min ( mnw ) Shrine ( ḫm ) Letopolis ( ḫm )","","Emblem of Min . Interpreted as belemnite fossils or a lightning bolt."
"𓋋","R24 U+132CB","two bows tied horizontally","Neith ( nt )","","Emblem of Neith . Alternatively interpreted as a weaver’s shuttle or a simplified Click beetle ."
"𓋌","R25 U+132CC","two bows tied vertically","Neith ( nt )","","Emblem of Neith . Alternatively interpreted as a weaver’s shuttle or a simplified Click beetle ."
"𓋍","R26 U+132CD","combination of land, lung and windpipe, lily, and papyrus","To unite the two lands ( smꜣ-tꜣwy )","","’Sema-Tawy’, heraldic symbol of the unification of the two lands. See: Sema Tawy"
"𓋎","R27 U+132CE","two arrows crossed over a shield","Neith ( nt )","","Emblem of Neith"
"𓋏","R28 U+132CF",Bat,"Bat ( bꜣt )","",""
"𓋐","R29 U+132D0","niche with serpent","Shrine ( jtrt ), in jtrty “Double shrines”","",""
"​",S,"","Crowns, dress, staves, etc.","",""
"𓋑","S1 U+132D1","white crown","White crown ( ḥḏt, wrt, wrrt ) Beautiful, good ( nfr ) (Ptolemaic) Kingship ( nsyt ) King( of Upper Egypt) ( nswt ) Upper Egypt(ian) ( šmꜥw )","","See Hedjet ; (see also Red crown & Pschent )"
"𓋒","S2 U+132D2","combination of white crown and basket","White crown ( ḥḏt, wrt, wrrt )","",""
"𓋓","S2A U+132D3","combination of white crown and village","Upper Egypt(ian) ( šmꜥw )","",""
"𓋔","S3 U+132D4","red crown","Red crown ( dšrt, nt ) King (of Lower Egypt) ( bjty ) Lower Egypt(ian), North ( mḥw )","n, jn","See Deshret ; Red crown (hieroglyph) -( uniliteral n - used in vertical spaces instead of the flat n-sign N35"
"𓋕","S4 U+132D5","combination of red crown and basket","Red crown ( dšrt, nt ) King (of Lower Egypt) ( bjty )","",""
"𓋖","S5 U+132D6","Pschent Crown","Double crown ( sḫmty ) (lit. ‘two powers’) Upper and Lower Egypt ( šmꜥw-mḥw ) Dual king ( nswt-bjty )","","See: Pschent , derived from late Egyptian pꜣ-sḫmty “The double crown”"
"𓋗","S6 U+132D7","combination of Pschent Crown and basket","Double crown ( sḫmty ) (lit. ‘two powers’) Dual king ( nswt-bjty )","",""
"𓋘","S6A U+132D8","combination of red crown and village","Lower Egypt(ian), North ( mḥw )","",""
"𓋙","S7 U+132D9","blue crown","Khepresh ( ḫprš )","","khepresh -helmet, a.k.a. the “Blue crown” or “War crown”"
"𓋚","S8 U+132DA","Atef crown","Atef ( ꜣtf )","",""
"𓋛","S9 U+132DB","shuty-crown (two falcon feathers) ]","shuty-crown ( šwty )","","two feathers , a crown related to Amun"
"𓋜","S10 U+132DC",headband,"Fillet ( mḏḥ )","",""
"𓋝","S11 U+132DD","broad collar","Broad collar ( wsḫ )","","see: Usekh collar"
"𓋞","S12 U+132DE","collar of beads","Gold ( nbw ) Lord ( nb ) (Ptolemaic)","",""
"𓋟","S13 U+132DF","combination of collar of beads and foot","Gold ( nbw ) Lord ( nb ) (Ptolemaic)","",""
"𓋠","S14 U+132E0","combination of collar of beads and mace with round head","Silver ( ḥḏ )","",""
"𓋡","S14A U+132E1","combination of collar of beads and sceptre","Electrum ( ḏꜥm )","",""
"𓋢","S14B U+132E2","combination of collar of beads and sceptre","Electrum ( ḏꜥm )","",""
"𓋣","S15 U+132E3",pectoral,"Sparkle, gleam, glitter ( ṯḥn ) Faience ( ṯḥnt )","",""
"𓋤","S16 U+132E4","","Sparkle, gleam, glitter ( ṯḥn ) Faience ( ṯḥnt ) Malachite ( šsmt )","",""
